Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process
https://incidecoder.com/products/dr-leo-facial-cleanser,Dr. Leo,Facial Cleanser,06/10/2024,"
    
    For acne,deep cleansing 
    ","

Water,
                            Glycerin,
                            Dipropylene Glycol,
                            Sodium Cocoamphoacetate,
                            Chondrus Crispus,
                            Potassium Cocoyl Glycinate,
                            Sodium Lauroyl Sarcosinate,
                            Potassium Cocoate,
                            Decyl Glucoside,
                            
        [more]Sodium Polyacrylate,
                            Propanediol,
                            Xanthan Gum,
                            Trehalose,
                            Dipotassium Glycyrrhizate,
                            Sodium Lauroyl Glutamate,
                            Acacia Senegal Gum,
                            Decylene Glycol,
                            Glyceryl Caprylate,
                            Serenoa Serrulata Fruit Extract,
                            Cinnamomum Cassia Bark Extract,
                            Hydrated Silica,
                            Butylene Glycol,
                            Betaine,
                            Sapindus Mukorossi Peel Extract,
                            Panthenol,
                            Sodium PCA,
                            Chondrus Crispus Extract,
                            1,2-Hexanediol,
                            Escin,
                            Sorbitol,
                            Threonine,
                            Arginine,
                            Lysine,
                            Alanine,
                            Glutamic Acid,
                            Glycine,
                            Serine,
                            Proline,
                            Ruscus Aculeatus Root Extract,
                            Ammonium Glycyrrhizate,
                            Phenoxyethanol,
                            Centella Asiatica Leaf Extract,
                            Hydrolyzed Yeast Protein,
                            Calendula Officinalis Flower Extract,
                            Hydroxyacetophenone,
                            Gluconolactone,
                            Sodium Citrate,
                            Sodium Benzoate,
                            Sodium Hyaluronate[less]

",https://incidecoder-content.storage.googleapis.com/b5624e7e-c952-4fdf-9a7a-f7e2a0b527b7/products/dr-leo-facial-cleanser/dr-leo-facial-cleanser_front_photo_original.jpeg,Success
https://incidecoder.com/products/dr-leo-amazon-white-deep-pores-cleansing-purifying-clay-mask,Dr. Leo,Amazon White Deep Pores Cleansing & Purifying Clay Mask,06/10/2024,"
    
    Oily skin,deeply unclogs pores, softens old dead skin cells, blackheads 
    ","

Water,
                            Kaolin,
                            Glycerin,
                            Mineral Oil,
                            Caprylic/​Capric Triglyceride,
                            Cetearyl Alcohol,
                            Dipropylene Glycol,
                            Isohexadecane,
                            Steareth-21,
                            
        [more]Silt,
                            Salicylic Acid,
                            Avena Sativa (Oat) Kernel Flour,
                            Dipotassium Glycyrrhizate,
                            Lactobionic Acid,
                            Allantoin,
                            Hamamelis Virginiana (Witch Hazel) Water,
                            Tartaric Acid,
                            Sodium Hyaluronate,
                            1,2-Hexanediol,
                            Hydroxyacetophenone,
                            Olea Europaea (Olive) Fruit Oil,
                            Avena Sativa (Oat) Kernel Oil,
                            Ceramide NP,
                            Myrothamnus Flabellifolia Leaf Extract,
                            Prunus Serotina (Wild Cherry) Fruit Extract,
                            Chaenomeles Sinensis Fruit Extract,
                            Diospyros Kaki Fruit Extract,
                            Citrus Grandis (Grapefruit) Fruit Extract,
                            Bellis Perennis (Daisy) Flower Extract,
                            Jasminum Officinale (Jasmine) Flower Extract,
                            Rosa Centifolia Flower Extract,
                            Sodium Lactate,
                            Glycolic Acid,
                            Leontopodium Alpinum Flower/​Leaf Extract,
                            Butylene Glycol,
                            Sodium Stearoyl Glutamate,
                            Ceteareth-20,
                            Xanthan Gum,
                            Potassium Cetyl Phosphate,
                            Disodium EDTA,
                            Alumina,
                            Phenoxyethanol,
                            Hydroxypropyl Cyclodextrin,
                            Propanediol,
                            Caprylyl Glycol,
                            Pentylene Glycol,
                            10-Hydroxydecanoic Acid,
                            Octyldodecanol,
                            Sucrose,
                            Urea,
                            Sodium Citrate,
                            Hydrogenated Lecithin,
                            Levulinic Acid,
                            Cholesterol,
                            Glyceryl Caprylate,
                            Citric Acid,
                            Malic Acid,
                            Sodium Benzoate,
                            Potassium Sorbate,
                            Ci 77891[less]

",https://incidecoder-content.storage.googleapis.com/f8dad8cf-6c1c-4c51-a3cd-db93781fdf06/products/dr-leo-amazon-white-deep-pores-cleansing-purifying-clay-mask/dr-leo-amazon-white-deep-pores-cleansing-purifying-clay-mask_front_photo_original.jpeg,Success
https://incidecoder.com/products/dr-leo-salicylic-acid-acne-treatment-drying-lotion,Dr. Leo,Salicylic Acid Acne Treatment Drying Lotion,09/16/2024,"

        Specially researched and customized acne skin serum, unique salicylic acid and quaternium-73 quickly dries out acne and pimple, eliminates redness and dispels acne, niacinamide synergistically enhances the treatment effect, and
        [more]
[more]

        lightens acne marks, fomes officinalls also helps to gradually improve acne skin root problems, increase skin nourishment and makes skin naturally appear delicate and tender.
        
[less]

","

Salicylic Acid,
                            Alcohol,
                            Water,
                            Emollients,
                            Preservatives,
                            Fragrances[less]

",https://incidecoder-content.storage.googleapis.com/395d3dcd-e004-40a3-8c46-a947ea860ab5/products/dr-leo-salicylic-acid-acne-treatment-drying-lotion/dr-leo-salicylic-acid-acne-treatment-drying-lotion_front_photo_original.jpeg,Success
https://incidecoder.com/products/dr-leo-acne-buster-salicylic-acid-drying-lotion,Dr. Leo,Acne Buster Salicylic Acid Drying Lotion,09/19/2024,"
    
    Contains salicylic acid, quaternium-73, fomes officinalis, colloidal sulfur, niacinamide.

Specializing in customized acne skin essence, specially selected salicylic acid and quaternium-73 quickly dry acne, reduce redness and acne, niacinamide synergizes to improve acne skin and lighten acne scars; through fomes officinalis
    ","

Water,
                            Alcohol,
                            Zinc Oxide,
                            Glycerin,
                            Butylene Glycol,
                            Salicylic Acid,
                            Colloidal Sulfur,
                            Dipotassium Glycyrrhizate,
                            Niacinamide,
                            
        [more]Quaternium-73,
                            Fomes Officinalis (Mushroom) Extract,
                            Phenoxyethanol,
                            PEG-40 Hydrogenated Castor Oil[less]

",https://incidecoder-content.storage.googleapis.com/2b29b10b-d617-4008-9e50-b4be5e9fd15d/products/dr-leo-acne-buster-salicylic-acid-drying-lotion/dr-leo-acne-buster-salicylic-acid-drying-lotion_front_photo_original.jpeg,Success
https://incidecoder.com/products/dr-leo-5-panthenol-anti-acne-soothing-water-gel,Dr. Leo,5% Panthenol Anti-acne Soothing Water Gel,10/14/2024,"
    
    This product effectively addresses skin issues such as acne, dryness, and redness. It helps to reduce the appearance of red acne spots and alleviate dry, sensitive skin. In addition, the product is gentle and absorbs quickly into the skin.
    ","

Water,
                            Panthenol,
                            Propylene Glycol,
                            Methyl Gluceth-10,
                            30,
                            PEG/​PPG-17/​6 Copolymer,
                            Ectoin,
                            Madecassoside,
                            Centella Asiatica Extract,
                            
        [more]Asiaticoside,
                            Lactobacillus/​Soy Milk Ferment Filtrate,
                            Chlorella Vulgaris Extract,
                            1,2-Hexanediol,
                            Hydroxyacetophenone,
                            Carbomer,
                            Arginine,
                            Butylene Glycol,
                            Portulaca Oleracea Extract,
                            Ceramide NP,
                            Ceramide AP,
                            Ceramide AS,
                            Ceramide NS,
                            Ceramide EOP,
                            Erythritol,
                            Glycerin,
                            Disodium EDTA,
                            Pentylene Glycol,
                            Laminaria Digitata Extract,
                            Hydrogenated Lecithin,
                            Cetyl-PG Hydroxyethyl Palmitamide,
                            Cholesterol,
                            Ci 19140,
                            Ci 42090[less]

",https://incidecoder-content.storage.googleapis.com/d51a2c19-8446-4cea-93e3-4ce5c9928bce/products/dr-leo-5-panthenol-anti-acne-soothing-water-gel/dr-leo-5-panthenol-anti-acne-soothing-water-gel_front_photo_original.jpeg,Success
