Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process
https://incidecoder.com/products/laikou-france-24k-gold-snail-serum,Laikou,France 24k Gold Snail Serum,08/16/2021,"
    
    Serum can effectively shrink the rough pores, repair dry and loose skin, makes skin radiant and bright.
    ","

Aqua,
                            Glycerin,
                            Propylene Glycol,
                            Carbomer,
                            Xanthan Gum,
                            Niacinamide,
                            PEG-40 Hydrogenated Castor Oil,
                            Snail Secretion Filtrate,
                            Butylene Glycol,
                            
        [more]Phenoxyethanol,
                            Dipropylene Glycol,
                            Ginseng Radix Et Rhizoma Rubra Extract,
                            Triethanolamine,
                            Gold,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum[less]

",https://incidecoder-content.storage.googleapis.com/435c6cae-4037-4ee6-acde-827d0490d9f8/products/laikou-france-24k-gold-snail-serum/laikou-france-24k-gold-snail-serum_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-centella-frozen-sleeping-mask,Laikou,Centella Frozen Sleeping Mask,09/03/2021,"
    
    Brightening, repairing cold sleeping mask for deep nourishing
    ","

Aqua,
                            Propylene Glycol,
                            Butylene Glycol,
                            Centella Asiatica Extract,
                            Niacinamide,
                            Sodium Hyaluronate,
                            Dipotassium Glycyrrhizate,
                            Aloe Barbadensis Leaf Extract,
                            Acrylates/​C10-30 Alkyl Acrylate Crosspolymer,
                            
        [more]Xanthan Gum,
                            Allantoin,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Triethanolamine,
                            Disodium EDTA[less]

",https://incidecoder-content.storage.googleapis.com/6722eecd-23a6-445b-8689-0e37af6ce14a/products/laikou-centella-frozen-sleeping-mask/laikou-centella-frozen-sleeping-mask_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-pro-whitening-serum,Laikou,Pro Whitening Serum,02/07/2022,"
    
    Fades dark spots, shrinks pores, and rejuvenates skin. 
    ","

Aqua,
                            Butylene Glycol,
                            Dipropylene Glycol,
                            Niacinamide,
                            Tranexamic Acid,
                            Polyglycerin-10,
                            1-Methylhydantoin-2-Imide,
                            1.2-Hexanediol,
                            Carboxymethyl Chitosan,
                            
        [more]Sodium Hyaluronate,
                            Sodium Polyglutamate,
                            Xanthan Gum,
                            Trehalose,
                            Allantoin,
                            Ammonium Glycyrrhizate,
                            Bis-PEG-15 Methyl Ether Dimethicone,
                            Hydroxyacetophenone,
                            Caprylhydroxamic Acid,
                            Disodium EDTA[less]

",https://incidecoder-content.storage.googleapis.com/e0936792-61cf-40fb-93c8-da33993cd14e/products/laikou-pro-whitening-serum/laikou-pro-whitening-serum_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-japan-sakura-lotion,Laikou,Japan Sakura Lotion,03/09/2022,"
    
    Repairing, reduce spots, nourishing. 
    ","

Aqua,
                            Mineral Oil,
                            Glycerin,
                            Dimethicone,
                            Polysorbate 20,
                            Sorbitan Stearate,
                            PEG-100 Stearate,
                            Glyceryl Stearate,
                            Sodium Hyaluronate,
                            
        [more]Dipropylene Glycol,
                            Tremella Fuciformis Extract,
                            Prunus Lannesiana Flower Extract,
                            Ascorbic Acid,
                            Malic Acid,
                            Prunus Mume Fruit Extract,
                            Citric Acid,
                            Potassium Hydroxide,
                            Phenoxyethanol,
                            Butylene Glycol,
                            Xanthan Gum,
                            Carbomer,
                            Triethanolamine,
                            Propylparaben,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum,
                            Ci 16255,
                            Disodium EDTA[less]

",https://incidecoder-content.storage.googleapis.com/10c2d6ce-c395-4d25-a67f-0e14e71af054/products/laikou-japan-sakura-lotion/laikou-japan-sakura-lotion_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-japan-sakura-peeling-gel,Laikou,Japan Sakura Peeling Gel,07/19/2022,"
    
    Exfoliating gel.
    ","

Aqua,
                            Glycerin,
                            Carbomer,
                            Laurtrimonium Chloride,
                            PEG-7 Glyceryl Cocoate,
                            Hydrated Silica,
                            Alcohol,
                            Sodium Hyaluronate,
                            Tremella Fuciformis Polysaccharide,
                            
        [more]Prunus Lannesiana Flower Extract,
                            Ascorbic Acid,
                            Malic Acid,
                            Prunus Mume Fruit Extract,
                            Citric Acid,
                            Potassium Hydroxide,
                            Phenoxyethanol,
                            Butylene Glycol,
                            DMDM Hydantoin,
                            Parfum,
                            Ci 16255[less]

",https://incidecoder-content.storage.googleapis.com/bd7edb8e-2ebd-4d53-ae72-fa24aa8feca6/products/laikou-japan-sakura-peeling-gel/laikou-japan-sakura-peeling-gel_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-japan-sakur-eye-mask,Laikou,Japan Sakur Eye Mask,08/03/2022,"
    
    Eye mask.
    ","

Eye Patch Ingredients:
        Aqua,
                            Glycerin,
                            Propylene Glycol,
                            Chondrus Crispus (Carrageenan),
                            Ceratonia Siliqua Gum,
                            Agar,
                            Cyamopsis Tetragonoloba (Guar) Gum,
                            Hydroxyacetophenone,
                            1,2-Hexanediol,
                            
        [more]Potassium Chloride,
                            Calcium Chloride,
                            Allantoin,
                            Disodium EDTA,
                            Methylparaben,
                            Chlorphenesin,
                            Sodium Hydroxide,
                            Ci 77891,
                            Ci 16255
Essence Ingredients:
        Aqua,
                            Propylene Glycol,
                            Glycerin,
                            PEG/​PPG-17/​6 Copolymer,
                            Betaine,
                            Niacinamide,
                            Hydrolyzed Collagen,
                            Prunus Speciosa Flower Extract,
                            Pentylene Glycol,
                            Sargassum Fusiforme Extract,
                            Hydrolyzed Pearl,
                            Butylene Glycol,
                            Acetyl Tetrapeptide-5,
                            Glycine Soja (Soybean) Seed Extract,
                            Hydroxyacetophenone,
                            1,2-Hexanediol,
                            Sodium Hyaluronate,
                            Dipotassium Glycyrrhizate,
                            Hydroxyethylcellulose,
                            Allantoin,
                            Disodium EDTA,
                            PEG-40 Hydrogenated Castor Oil,
                            Methylparaben,
                            Chlorphenesin,
                            Phenoxyethanol,
                            Ethylhexylglycerin,
                            Parfum[less]

",https://incidecoder-content.storage.googleapis.com/69d72bab-872a-4f7b-b6c2-71cb30e95249/products/laikou-japan-sakur-eye-mask/laikou-japan-sakur-eye-mask_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-french-snail-essence-cream,Laikou,French Snail Essence Cream,08/16/2021,"
    
    It can moisturize the dry skin, repair damaged skin and enhance skin's elasticity. It can solve the skin problems like rough skin, dull skin and fine lines.
    ","

Aqua,
                            Mineral Oil,
                            Glycerin,
                            Cetearyl Alcohol,
                            Isopropyl Palmitate,
                            PEG-100 Stearate,
                            Glyceryl Stearate,
                            Dimethicone,
                            Stearic Acid,
                            
        [more]Xanthan Gum,
                            Carbomer,
                            Snail Secretion Filtrate,
                            Butylene Glycol,
                            Phenoxyethanol,
                            Sodium Hyaluronate,
                            Tremella Fuciformis Polysaccharide,
                            Niacinamide,
                            Disodium EDTA,
                            Triethanolamine,
                            Propylparaben,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum,
                            Ci 19140,
                            Ci 16255[less]

",https://incidecoder-content.storage.googleapis.com/3c3186a6-e74d-4655-b0ee-9644116f565a/products/laikou-french-snail-essence-cream/laikou-french-snail-essence-cream_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-ginseng-snail-eye-cream,Laikou,Ginseng Snail Eye Cream,08/16/2021,"
    
     With precious niacinamide and paeonia suffruticosa root extract, it can fade fine lines and reduce dark circles, making  eyes young and bright.
    ","

Aqua,
                            Propylene Glycol,
                            Cyclopentasiloxane,
                            Dimethicone,
                            Isononyl Isononanoate,
                            Glycerin,
                            Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer,
                            Polysorbate 60,
                            Sorbitan Isostearate,
                            
        [more]Polyacrylate-13,
                            Polyisobutene,
                            Polysorbate 20,
                            Sodium Hyaluronate,
                            Snail Secretion Filtrate,
                            Butylene Glycol,
                            Phenoxyethanol,
                            Dipropylene Glycol,
                            Ginseng Radix Et Rhizoma Rubra Extract,
                            Niacinamide,
                            Alcohol,
                            Chlorella Vulgaris Extract,
                            Disodium Adenosine Triphosphate,
                            Allium Sativum (Garlic) Bulb Extract,
                            Paeonia Suffruticosa Root Extract,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum,
                            Ci 19140,
                            Ci 16255[less]

",https://incidecoder-content.storage.googleapis.com/5faf76a3-6209-4815-95d0-b4649a852149/products/laikou-ginseng-snail-eye-cream/laikou-ginseng-snail-eye-cream_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-milk-brightening-cream,Laikou,Milk Brightening Cream,10/28/2022,"
    
    Brighten skin tone deep nourishing & smoothing.
    ","

Aqua,
                            Glycerin,
                            Propylene Glycol,
                            Dimethicone,
                            Propylene Glycol Dicaprylate/​Dicaprate,
                            Isononyl Isononanoate,
                            Cyclopentasiloxane,
                            Ci 77891,
                            Phenyl Trimethicone,
                            
        [more]Sodium Polyacrylate,
                            Sodium Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer,
                            Ethylhexyl Stearate,
                            Isohexadecane,
                            Trideceth-6,
                            Polysorbate 80,
                            Aluminum Hydroxide,
                            Sorbitan Oleate,
                            Triethoxycaprylylsilane,
                            Dimethiconol,
                            Butyrospermum Parkii (Shea) Butter,
                            C20-22 Alkyl Phosphate,
                            C20-22 Alcohols,
                            Potassium Cetyl Phosphate,
                            Cetyl Phosphate,
                            Tocopheryl Acetate,
                            Niacinamide,
                            Pearl Powder,
                            Milk Extract,
                            Butylene Glycol,
                            Phenoxyethanol,
                            Ethylhexylglycerin,
                            Alpha-Arbutin,
                            Sodium Hyaluronate,
                            Disodium EDTA,
                            Propylparaben,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum[less]

",https://incidecoder-content.storage.googleapis.com/5facd59a-5c1e-4e7a-9d04-6f4f0ade2c6d/products/laikou-milk-brightening-cream/laikou-milk-brightening-cream_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-milk-moisturizing-cream,Laikou,Milk Moisturizing Cream,10/28/2022,"
    
    Nourishing: smoothing, rejuvenation.
    ","

Aqua,
                            Mineral Oil,
                            Glycerin,
                            Cetearyl Alcohol,
                            Glyceryl Stearate,
                            Dimethicone,
                            Butyrospermum Parkii (Shea Butter),
                            Tocopheryl Acetate,
                            Niacinamide,
                            
        [more]Sodium Hyaluronate,
                            Alpha-Arbutin,
                            Lactic Acid,
                            Polysorbate 20,
                            Sodium Lauryl Sulfate,
                            Milk Extract,
                            Butylene Glycol,
                            Phenoxyethanol,
                            Ethylhexylglycerin,
                            Propylparaben,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum[less]

",https://incidecoder-content.storage.googleapis.com/1c732fbe-91fb-45b0-9f8c-e56dd7700387/products/laikou-milk-moisturizing-cream/laikou-milk-moisturizing-cream_front_photo_original.jpeg,Success
