Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process
https://incidecoder.com/products/laikou-japan-sakura-cleanser,Laikou,Japan Sakura Cleanser,10/12/2023,"
    
    Smoothing deep cleansing moisturising cleanser. 
    ","

Aqua,
                            Stearic Acid,
                            Glycerin,
                            Myristic Acid,
                            Lauric Acid,
                            Potassium Hydroxide,
                            Sodium Laureth Sulfate,
                            Palmitic Acid,
                            Acrylates Copolymer,
                            
        [more]Tea-Lauroyl Collagen Amino Acids,
                            Collagen Amino Acids,
                            Phenoxyethanol,
                            Ethylhexylglycerin,
                            Citric Acid,
                            Ceteareth-25,
                            Distearyl Phthalic Acid Amide,
                            Hydroxypropyl Starch Phosphate,
                            Hydroxypropyl Methylcellulose,
                            Prunus Lannesiana Flower Extract,
                            Ascorbic Acid,
                            Malic Acid,
                            Prunus Mume Fruit Extract,
                            Butylene Glycol,
                            Saccharomyces/​Coix Lacryma-Jobi Ma-Yuen Seed Ferment Filtrate,
                            Propylene Glycol,
                            Codium Tomentosum Extract,
                            Ethylparaben,
                            Cladosiphon Okamuranus Extract,
                            Dipropylene Glycol,
                            Sodium Hyaluronate,
                            DMDM Hydantoin,
                            Parfum,
                            Ci 16255,
                            Disodium EDTA[less]

",https://incidecoder-content.storage.googleapis.com/ca7a6364-5d91-4606-a275-b4d0d4dd3fc3/products/laikou-japan-sakura-cleanser/laikou-japan-sakura-cleanser_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-japan-sakura-sunscreen-spf-50,Laikou,Japan Sakura Sunscreen SPF 50,10/17/2023,"
    
    Skin care sunscreen SPF 50 suitable for all types of including sensitive skin, can brighten the skin and slow down the signs of skin aging.
    ","

Agua,
                            Propylene Glycol,
                            Titanium Dioxide,
                            Ethylhexyl Palmitate,
                            Ethylhexyl Methoxycinnamate,
                            Glycerin,
                            Dimethicone,
                            Mineral Oil,
                            Isohexadecane,
                            
        [more]C12-15 Alkyl Benzoate,
                            Cetyl PEG/​PPG-10/​1 Dimethicone,
                            Sorbitan Sesquioleate,
                            Magnesium Sulfate,
                            Cyclopentasiloxane,
                            4-Methylbenzylidene Camphor,
                            Butyl Methoxydibenzoylmethane,
                            Benzophenone-3,
                            Silicon,
                            Alumina,
                            Trimethoxycaprylylsilane,
                            Magnesium Stearate,
                            Mica,
                            PEG-30 Dipolyhydroxystearate,
                            Sodium Hyaluronate,
                            Centella Asiática Extract,
                            Prunus Lannesiana Flower Extract,
                            Ascorbic Acid,
                            Malic Acid,
                            Prunus Mume Fruit Extract,
                            Citric Acid,
                            Potassium Hydroxide,
                            Phenoxyethanol,
                            Butylene Glycol,
                            Calendula Officinalis Flower Extract,
                            Hydroxyacetophenone,
                            Hydrolyzed Rict,
                            Hydroxyacetophenone,
                            Hydrolyzed Rice Protein,
                            Propylparaben,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum,
                            Ci 77491,
                            Ci 16255[less]

",https://incidecoder-content.storage.googleapis.com/e9153ab7-8ac1-4e64-b224-f40fc2e4dfee/products/laikou-japan-sakura-sunscreen-spf-50/laikou-japan-sakura-sunscreen-spf-50_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-tea-tree-acne-cream,Laikou,Tea Tree Acne Cream,10/16/2024,"
    
    Anti acne cream
    ","

Aqua,
                            Propylene Glycol,
                            Caprylic/​Capric Triglyceride,
                            Cetearyl Alcohol,
                            Ethylhexyl Palmitate,
                            Glyceryl Stearate,
                            Glycerin,
                            Isononyl Isononanoate,
                            Dimethicone,
                            
        [more]Hydroxypropyl Starch Phosphate,
                            PEG-100 Stearate,
                            Polyacrylate-13,
                            Polyisobutene,
                            Polysorbate 20,
                            Sorbitan Isostearate,
                            Melaleuca Alternifolia (Tea Tree) Leaf Oil,
                            Cyclodextrin,
                            Quaternium-73,
                            Zinc Pca,
                            Butyrospermum Parkii (Shea) Butter,
                            Hamamelis Virginiana (Witch Hazel) Water,
                            Butylene Glycol,
                            Portulaca Oleracea Extract,
                            Allantoin,
                            Xanthan Gum,
                            Disodium EDTA,
                            Methylparaben,
                            Propylparaben,
                            Diazolidinyl Urea[less]

",https://incidecoder-content.storage.googleapis.com/b8e2c000-3247-4de2-bd3b-74824600fb3c/products/laikou-tea-tree-acne-cream/laikou-tea-tree-acne-cream_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-japan-sakura-sunscreen-spf-50-pa,Laikou,Japan Sakura Sunscreen SPF 50 Pa+++,10/31/2024,"
    
    Lightweight, uv protection, whitening(Titanium Dioxide) 
    ","

Aqua,
                            Propylene Glycol,
                            Titanium Dioxide,
                            Ethylhexyl Palmitate,
                            Ethylhexyl Methoxycinnamate,
                            Glycerin,
                            Dimethicone,
                            Mineral Oil,
                            Isohexadecane,
                            
        [more]C12-15 Alkyl Benzoate,
                            Cetyl PEG/​PPG-10/​1 Dimethicone,
                            Sorbitan Sesquioleate,
                            Magnesium Sulfate,
                            Cyclopentasiloxane,
                            4-Methylbenzylidene Camphor,
                            Butyl Methoxydibenzoylmethane,
                            Benzophenone-3,
                            Silica,
                            Alumina,
                            Trimethoxycaprylylsilane,
                            Magnesium Stearate,
                            Mica,
                            PEG-30 Dipolyhydroxystearate,
                            Sodium Hyaluronate,
                            Centella Asiatica Extract,
                            Prunus Lannesiana Flower Extract,
                            Ascorbic Acid,
                            Malic Acid,
                            Prunus Mume Fruit Extract,
                            Citric Acid,
                            Potassium Hydroxide,
                            Phenoxyethanol,
                            Butylene Glycol,
                            Calendula Officinalis Flower Extract,
                            Hydroxyacetophenone,
                            Hydrolyzed Rice Protein,
                            Propylparaben,
                            Methylparaben,
                            Diazolidinyl Urea,
                            Parfum,
                            Ci 77491,
                            Ci 16255[less]

",https://incidecoder-content.storage.googleapis.com/5a7f6ed3-c681-4857-bc04-f242daf05f4d/products/laikou-japan-sakura-sunscreen-spf-50-pa/laikou-japan-sakura-sunscreen-spf-50-pa_front_photo_original.jpeg,Success
https://incidecoder.com/products/laikou-japan-sakura-serum,Laikou,Japan Sakura Serum,10/20/2024,"
    
    Reduces the appearance of wrinkles
    ","

Aqua,
                            Butylene Glycol,
                            Prunus Lannesiana Flower Extract,
                            Prunus Mume Fruit Extract,
                            Citric Acid,
                            Potassium Hydroxide,
                            Ascorbic Acid,
                            Malic Acid,
                            Sodium Hyaluronate,
                            
        [more]Tremella Fuciformis Polysaccharide,
                            Acrylates/​C10-30 Alkyl Acrylate Crosspolymer,
                            Triethanolamine,
                            Methylparaben,
                            Phenoxyethanol,
                            Ethylhexylglycerin,
                            Imidazolidinyl Urea,
                            Parfum,
                            PEG-40 Hydrogenated Castor Oil,
                            Ci 16255[less]

",https://incidecoder-content.storage.googleapis.com/cb0b1e73-74c5-477f-a2c0-30682da3ac97/products/laikou-japan-sakura-serum/laikou-japan-sakura-serum_front_photo_original.jpeg,Success
